,Timestamp,Device_Type,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Flags,Payload,Activity,Label
0,2024-11-16 03:38:08,smart led light,172.20.251.237,2.119.194.105,5627,64066,TCP,867,RST,92,sending data,1
1,2024-12-01 13:23:52,smart plug,10.129.207,172.20.129.151,14924,35944,TCP,1475,ACK,608,sending data,0
2,2024-12-01 15:36:13,smart camera,172.31.40.131,172.17.242.7,52177,8080,HTTP,1283,,726,receiving data,0
3,2024-11-06 16:39:45,smart fridge,171.138.131.225,111.103.49.178,9628,5866,UDP,1343,,1234,idle,1
4,2024-11-16 11:17:35,smart plug,172.19.225.106,172.31.10.75,2030,40043,TCP,808,ACK,267,sending data,1
5,2024-11-18 08:52:58,smart fridge,117.154.67.48,172.18.154.21,49326,36756,UDP,794,,486,idle,1
6,2024-11-12 04:42:55,smart led light,194.165.224.58,10.236.252,8235,8080,HTTP,1077,,188,receiving data,0
7,2024-11-07 02:22:17,smart plug,62.46.186.8,33.35.228.83,1864,443,HTTP,200,,196,idle,1
8,2024-11-18 11:55:53,smart camera,172.18.67.213,172.18.139.171,3532,40082,TCP,200,ACK,86,sending data,1
9,2024-11-16 01:29:50,smart speaker,81.161.182.180,172.20.90.72,34727,62845,TCP,85,ACK,36,sending data,1
10,2024-11-12 10:00:38,smart led light,208.244.39.208,172.19.222.204,23749,27295,TCP,900,ACK,275,idle,1
11,2024-12-02 01:39:10,smart fridge,172.16.145.9,46.68.212.3,43262,7940,UDP,746,,171,receiving data,0
12,2024-11-14 14:16:51,smart doorbell,172.17.231.173,172.19.85.174,2990,34419,UDP,264,,31,sending data,0
13,2024-12-03 00:09:35,smart plug,172.17.151.23,28.180.227.98,6277,34692,UDP,1453,,1285,receiving data,0
14,2024-11-08 18:54:09,smart doorbell,160.207.44.123,119.220.103.187,45117,80,HTTP,488,,418,sending data,0
15,2024-11-14 23:49:52,smart thermostat,192.168.4.66,69.170.106.118,30376,9021,TCP,1314,SYN,919,idle,0
16,2024-11-15 14:37:55,smart camera,7.209.184.91,172.16.250.120,6788,27854,TCP,1450,"SYN,ACK",214,receiving data,0
